index,Movie Name,Year,Actors,Directors,Writer,Rating
526,"South Park: Bigger, Longer & Uncut",30/06/99,"Trey Parker, Matt Stone, Mary Kay Bergman",Trey Parker,"Trey Parker, Matt Stone, Pam Brady",7.7
527,Awakenings,11/01/91,"Robert De Niro, Robin Williams, Julie Kavner",Penny Marshall,"Oliver Sacks, Steven Zaillian",7.8
528,Stand by Me,22/08/86,"Wil Wheaton, River Phoenix, Corey Feldman",Rob Reiner,"Stephen King, Raynold Gideon, Bruce A. Evans",8.1
529,The Royal Tenenbaums,04/01/02,"Gene Hackman, Gwyneth Paltrow, Anjelica Huston",Wes Anderson,"Wes Anderson, Owen Wilson",7.6
530,Gandhi,25/02/83,"Ben Kingsley, John Gielgud, Rohini Hattangadi",Richard Attenborough,John Briley,8
531,My Cousin Vinny,13/03/92,"Joe Pesci, Marisa Tomei, Ralph Macchio",Jonathan Lynn,Dale Launer,7.6
532,The Prestige,20/10/06,"Christian Bale, Hugh Jackman, Scarlett Johansson",Christopher Nolan,"Jonathan Nolan, Christopher Nolan, Christopher Priest",8.5
533,Papillon,19/12/73,"Steve McQueen, Dustin Hoffman, Victor Jory",Franklin J. Schaffner,"Dalton Trumbo, Lorenzo Semple Jr., Henri Charrière",8
534,Parasite,08/11/19,"Kang-ho Song, Sun-kyun Lee, Yeo-jeong Cho",Bong Joon Ho,"Bong Joon Ho, Han Jin-won",8.5
535,RoboCop,17/07/87,"Peter Weller, Nancy Allen, Dan OHerlihy",Paul Verhoeven,"Edward Neumeier, Michael Miner",7.6
536,3:10 to Yuma,07/09/07,"Russell Crowe, Christian Bale, Ben Foster",James Mangold,"Halsted Welles, Michael Brandt, Derek Haas",7.7
537,Hero,27/08/04,"Jet Li, Tony Chiu-Wai Leung, Maggie Cheung",Yimou Zhang,"Feng Li, Yimou Zhang, Bin Wang",7.9
538,The Verdict,17/12/82,"Paul Newman, Charlotte Rampling, Jack Warden",Sidney Lumet,"Barry Reed, David Mamet, Jay Presson Allen",7.7
539,The Hateful Eight,30/12/15,"Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh",Quentin Tarantino,Quentin Tarantino,7.8
540,The Count of Monte Cristo,25/01/02,"Jim Caviezel, Guy Pearce, Christopher Adamson",Kevin Reynolds,"Alexandre Dumas, Jay Wolpert",7.7
541,"Three Billboards Outside Ebbing, Missouri",01/12/17,"Frances McDormand, Woody Harrelson, Sam Rockwell",Martin McDonagh,Martin McDonagh,8.1
542,Crash,06/05/05,"Don Cheadle, Sandra Bullock, Thandiwe Newton",Paul Haggis,"Paul Haggis, Bobby Moresco",7.8
543,Ordinary People,19/09/80,"Donald Sutherland, Mary Tyler Moore, Judd Hirsch",Robert Redford,"Judith Guest, Alvin Sargent, Nancy Dowd",7.8
