index,Movie Name,Year,Actors,Directors,Writer,Rating
663,The Bourne Identity,14/06/02,"Franka Potente, Matt Damon, Chris Cooper",Doug Liman,"Tony Gilroy, W. Blake Herron, Robert Ludlum",7.9
664,Traffic,05/01/01,"Michael Douglas, Benicio Del Toro, Catherine Zeta-Jones",Steven Soderbergh,"Simon Moore, Stephen Gaghan",7.6
665,The Fault in Our Stars,06/06/14,"Shailene Woodley, Ansel Elgort, Nat Wolff",Josh Boone,"Scott Neustadter, Michael H. Weber, John Green",7.7
666,Life of Pi,21/11/12,"Suraj Sharma, Irrfan Khan, Adil Hussain",Ang Lee,"Yann Martel, David Magee",7.9
667,The Truman Show,05/06/98,"Jim Carrey, Ed Harris, Laura Linney",Peter Weir,Andrew Niccol,8.2
668,The Curious Case of Benjamin Button,25/12/08,"Brad Pitt, Cate Blanchett, Tilda Swinton",David Fincher,"Eric Roth, Robin Swicord, F. Scott Fitzgerald",7.8
669,Shutter Island,19/02/10,"Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo",Martin Scorsese,"Laeta Kalogridis, Dennis Lehane",8.2
670,"Crouching Tiger, Hidden Dragon",12/01/01,"Chow Yun-Fat, Michelle Yeoh, Ziyi Zhang",Ang Lee,"Hui-Ling Wang, James Schamus, Kuo Jung Tsai",7.8
671,Kingsman: The Secret Service,13/02/15,"Colin Firth, Taron Egerton, Samuel L. Jackson",Matthew Vaughn,"Jane Goldman, Matthew Vaughn, Mark Millar",7.7
672,American Beauty,01/10/99,"Kevin Spacey, Annette Bening, Thora Birch",Sam Mendes,Alan Ball,8.4
673,American Gangster,02/11/07,"Denzel Washington, Russell Crowe, Chiwetel Ejiofor",Ridley Scott,"Steven Zaillian, Mark Jacobson",7.8
674,The Silence of the Lambs,14/02/91,"Jodie Foster, Anthony Hopkins, Lawrence A. Bonney",Jonathan Demme,"Thomas Harris, Ted Tally",8.6
675,Minority Report,21/06/02,"Tom Cruise, Colin Farrell, Samantha Morton",Steven Spielberg,"Philip K. Dick, Scott Frank, Jon Cohen",7.7
676,Close Encounters of the Third Kind,14/12/77,"Richard Dreyfuss, François Truffaut, Teri Garr",Steven Spielberg,"Steven Spielberg, Hal Barwood, Jerry Belson",7.6
677,Silver Linings Playbook,25/12/12,"Bradley Cooper, Jennifer Lawrence, Robert De Niro",David O. Russell,"David O. Russell, Matthew Quick",7.7
678,The Departed,06/10/06,"Leonardo DiCaprio, Matt Damon, Jack Nicholson",Martin Scorsese,"William Monahan, Alan Mak, Felix Chong",8.5
679,Wonder,17/11/17,"Jacob Tremblay, Owen Wilson, Izabela Vidovic",Stephen Chbosky,"Stephen Chbosky, Steve Conrad, Jack Thorne",7.9
680,The Godfather,24/03/72,"Marlon Brando, Al Pacino, James Caan",Francis Ford Coppola,"Mario Puzo, Francis Ford Coppola",9.2
681,Argo,12/10/12,"Ben Affleck, Bryan Cranston, John Goodman",Ben Affleck,"Chris Terrio, Tony Mendez, Joshuah Bearman",7.7
682,The Green Mile,10/12/99,"Tom Hanks, Michael Clarke Duncan, David Morse",Frank Darabont,"Stephen King, Frank Darabont",8.6
683,Good Will Hunting,09/01/98,"Robin Williams, Matt Damon, Ben Affleck",Gus Van Sant,"Matt Damon, Ben Affleck",8.3
684,Platoon,06/02/87,"Charlie Sheen, Tom Berenger, Willem Dafoe",Oliver Stone,Oliver Stone,8.1
685,The Kings Speech,25/12/10,"Colin Firth, Geoffrey Rush, Helena Bonham Carter",Tom Hooper,David Seidler,8
686,Slumdog Millionaire,25/12/08,"Dev Patel, Freida Pinto, Saurabh Shukla","Danny Boyle, Loveleen Tandan","Simon Beaufoy, Vikas Swarup",8
687,A Few Good Men,11/12/92,"Tom Cruise, Jack Nicholson, Demi Moore",Rob Reiner,Aaron Sorkin,7.7
688,The Jungle Book,15/04/16,"Neel Sethi, Bill Murray, Ben Kingsley",Jon Favreau,"Justin Marks, Rudyard Kipling",7.4
689,Once Upon a Time... In Hollywood,26/07/19,"Leonardo DiCaprio, Brad Pitt, Margot Robbie",Quentin Tarantino,Quentin Tarantino,7.6
690,Taken,30/01/09,"Liam Neeson, Maggie Grace, Famke Janssen",Pierre Morel,"Luc Besson, Robert Mark Kamen",7.8
691,Gran Torino,09/01/09,"Clint Eastwood, Bee Vang, Christopher Carley",Clint Eastwood,"Nick Schenk, Dave Johannson",8.1
692,As Good as It Gets,25/12/97,"Jack Nicholson, Helen Hunt, Greg Kinnear",James L. Brooks,"Mark Andrus, James L. Brooks",7.7
693,La La Land,25/12/16,"Ryan Gosling, Emma Stone, Rosemarie DeWitt",Damien Chazelle,Damien Chazelle,8
694,Mad Max: Fury Road,15/05/15,"Tom Hardy, Charlize Theron, Nicholas Hoult",George Miller,"George Miller, Brendan McCarthy, Nick Lathouris",8.1
695,Who Framed Roger Rabbit,22/06/88,"Bob Hoskins, Christopher Lloyd, Joanna Cassidy",Robert Zemeckis,"Gary K. Wolf, Jeffrey Price, Peter S. Seaman",7.7
696,1917,10/01/20,"Dean-Charles Chapman, George MacKay, Daniel Mays",Sam Mendes,"Sam Mendes, Krysty Wilson-Cairns",8.3
697,The Sting,25/12/73,"Paul Newman, Robert Redford, Robert Shaw",George Roy Hill,David S. Ward,8.3
698,Straight Outta Compton,14/08/15,"OShea Jackson Jr., Corey Hawkins, Jason Mitchell",F. Gary Gray,"Jonathan Herman, Andrea Berloff, S. Leigh Savidge",7.8
699,Django Unchained,25/12/12,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio",Quentin Tarantino,Quentin Tarantino,8.4
700,The Sound of Music,01/04/65,"Julie Andrews, Christopher Plummer, Eleanor Parker",Robert Wise,"George Hurdalek, Howard Lindsay, Russel Crouse",8
701,The Pursuit of Happyness,15/12/06,"Will Smith, Thandiwe Newton, Jaden Smith",Gabriele Muccino,Steve Conrad,8
702,Catch Me If You Can,25/12/02,"Leonardo DiCaprio, Tom Hanks, Christopher Walken",Steven Spielberg,"Jeff Nathanson, Frank Abagnale Jr., Stan Redding",8.1
703,Knives Out,27/11/19,"Daniel Craig, Chris Evans, Ana de Armas",Rian Johnson,Rian Johnson,7.9
704,Casino Royale,17/11/06,"Daniel Craig, Eva Green, Judi Dench",Martin Campbell,"Neal Purvis, Robert Wade, Paul Haggis",8
705,Gone Girl,03/10/14,"Ben Affleck, Rosamund Pike, Neil Patrick Harris",David Fincher,Gillian Flynn,8.1
706,Hidden Figures,06/01/17,"Taraji P. Henson, Octavia Spencer, Janelle Monáe",Theodore Melfi,"Allison Schroeder, Theodore Melfi, Margot Lee Shetterly",7.8
707,The Help,10/08/11,"Emma Stone, Viola Davis, Octavia Spencer",Tate Taylor,"Tate Taylor, Kathryn Stockett",8.1
708,A Beautiful Mind,04/01/02,"Russell Crowe, Ed Harris, Jennifer Connelly",Ron Howard,"Akiva Goldsman, Sylvia Nasar",8.2
709,True Grit,22/12/10,"Jeff Bridges, Matt Damon, Hailee Steinfeld","Ethan Coen, Joel Coen","Joel Coen, Ethan Coen, Charles Portis",7.6
710,The Matrix,31/03/99,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss","Lana Wachowski, Lilly Wachowski","Lilly Wachowski, Lana Wachowski",8.7
711,Apollo 13,30/06/95,"Tom Hanks, Bill Paxton, Kevin Bacon",Ron Howard,"Jim Lovell, Jeffrey Kluger, William Broyles Jr.",7.7
712,Get Out,24/02/17,"Daniel Kaluuya, Allison Williams, Bradley Whitford",Jordan Peele,Jordan Peele,7.7
713,The Bourne Supremacy,23/07/04,"Matt Damon, Franka Potente, Joan Allen",Paul Greengrass,"Robert Ludlum, Tony Gilroy",7.7
714,Rise of the Planet of the Apes,05/08/11,"James Franco, Andy Serkis, Freida Pinto",Rupert Wyatt,"Rick Jaffa, Amanda Silver, Pierre Boulle",7.6
715,How to Train Your Dragon 2,13/06/14,"Jay Baruchel, Cate Blanchett, Gerard Butler",Dean DeBlois,"Dean DeBlois, Cressida Cowell",7.8
716,Rain Man,16/12/88,"Dustin Hoffman, Tom Cruise, Valeria Golino",Barry Levinson,"Barry Morrow, Ronald Bass",8
717,Oceans Eleven,07/12/01,"George Clooney, Brad Pitt, Julia Roberts",Steven Soderbergh,"George Clayton Johnson, Jack Golden Russell, Harry Brown",7.7
718,The Revenant,08/01/16,"Leonardo DiCaprio, Tom Hardy, Will Poulter",Alejandro G. Iñárritu,"Mark L. Smith, Alejandro G. Iñárritu, Michael Punke",8
719,The Fugitive,06/08/93,"Harrison Ford, Tommy Lee Jones, Sela Ward",Andrew Davis,"Jeb Stuart, David Twohy, Roy Huggins",7.8
720,Dances with Wolves,21/11/90,"Kevin Costner, Mary McDonnell, Graham Greene",Kevin Costner,Michael Blake,8.1
721,Snow White and the Seven Dwarfs,04/02/38,"Adriana Caselotti, Harry Stockwell, Lucille La Verne","William Cottrell, David Hand, Wilfred Jackson","Jacob Grimm, Wilhelm Grimm, Ted Sears",7.6
722,Gladiator,05/05/00,"Russell Crowe, Joaquin Phoenix, Connie Nielsen",Ridley Scott,"David Franzoni, John Logan, William Nicholson",8.5
723,Interstellar,07/11/14,"Matthew McConaughey, Anne Hathaway, Jessica Chastain",Christopher Nolan,"Jonathan Nolan, Christopher Nolan",8.7
724,Dunkirk,21/07/17,"Fionn Whitehead, Barry Keoghan, Mark Rylance",Christopher Nolan,Christopher Nolan,7.8
725,Wreck-It Ralph,02/11/12,"John C. Reilly, Jack McBrayer, Jane Lynch",Rich Moore,"Rich Moore, Phil Johnston, Jim Reardon",7.7
726,Spider-Man: Into the Spider-Verse,14/12/18,"Shameik Moore, Jake Johnson, Hailee Steinfeld","Bob Persichetti, Peter Ramsey, Rodney Rothman","Phil Lord, Rodney Rothman",8.4
727,Toy Story,22/11/95,"Tom Hanks, Tim Allen, Don Rickles",John Lasseter,"John Lasseter, Pete Docter, Andrew Stanton",8.3
728,Indiana Jones and the Last Crusade,24/05/89,"Harrison Ford, Sean Connery, Alison Doody",Steven Spielberg,"Jeffrey Boam, George Lucas, Menno Meyjes",8.3
729,Gone with the Wind,17/01/40,"Clark Gable, Vivien Leigh, Thomas Mitchell","Victor Fleming, George Cukor, Sam Wood","Margaret Mitchell, Sidney Howard, Oliver H.P. Garrett",8.2
730,Tangled,24/11/10,"Mandy Moore, Zachary Levi, Donna Murphy","Nathan Greno, Byron Howard","Dan Fogelman, Jacob Grimm, Wilhelm Grimm",7.8
731,Terminator 2: Judgment Day,03/07/91,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong",James Cameron,"James Cameron, William Wisher",8.6
732,Ratatouille,29/06/07,"Brad Garrett, Lou Romano, Patton Oswalt","Brad Bird, Jan Pinkava","Brad Bird, Jan Pinkava, Jim Capobianco",8.1
733,Batman Begins,15/06/05,"Christian Bale, Michael Caine, Ken Watanabe",Christopher Nolan,"Bob Kane, David S. Goyer, Christopher Nolan",8.3
734,Dawn of the Planet of the Apes,11/07/14,"Gary Oldman, Keri Russell, Andy Serkis",Matt Reeves,"Mark Bomback, Rick Jaffa, Amanda Silver",7.6
735,Sherlock Holmes,25/12/09,"Robert Downey Jr., Jude Law, Rachel McAdams",Guy Ritchie,"Michael Robert Johnson, Anthony Peckham, Simon Kinberg",7.6
736,Coco,22/11/17,"Anthony Gonzalez, Gael García Bernal, Benjamin Bratt","Lee Unkrich, Adrian Molina","Lee Unkrich, Jason Katz, Matthew Aldrich",8.4
737,Back to the Future,03/07/85,"Michael J. Fox, Christopher Lloyd, Lea Thompson",Robert Zemeckis,"Robert Zemeckis, Bob Gale",8.6
738,300,09/03/07,"Gerard Butler, Lena Headey, David Wenham",Zack Snyder,"Zack Snyder, Kurt Johnstad, Michael B. Gordon",7.6
739,A Star Is Born,05/10/18,"Lady Gaga, Bradley Cooper, Sam Elliott",Bradley Cooper,"Eric Roth, Bradley Cooper, Will Fetters",7.6
740,Kung Fu Panda,06/06/08,"Jack Black, Ian McShane, Angelina Jolie","Mark Osborne, John Stevenson","Jonathan Aibel, Glenn Berger, Ethan Reiff",7.6
741,Bohemian Rhapsody,02/11/18,"Rami Malek, Lucy Boynton, Gwilym Lee",Bryan Singer,"Anthony McCarten, Peter Morgan",8
742,Saving Private Ryan,24/07/98,"Tom Hanks, Matt Damon, Tom Sizemore",Steven Spielberg,Robert Rodat,8.6
743,Aladdin,25/11/92,"Scott Weinger, Robin Williams, Linda Larkin","Ron Clements, John Musker","Ron Clements, John Musker, Ted Elliott",8.1
744,How to Train Your Dragon,26/03/10,"Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse","Dean DeBlois, Chris Sanders","William Davies, Dean DeBlois, Chris Sanders",8.1
745,Beauty and the Beast,22/11/91,"Paige OHara, Robby Benson, Jesse Corti","Gary Trousdale, Kirk Wise","Linda Woolverton, Brenda Chapman, Chris Sanders",8.1
746,Mission: Impossible - Fallout,27/07/18,"Tom Cruise, Henry Cavill, Ving Rhames",Christopher McQuarrie,"Bruce Geller, Christopher McQuarrie",7.7
747,Big Hero 6,07/11/14,"Ryan Potter, Scott Adsit, Jamie Chung","Don Hall, Chris Williams","Jordan Roberts, Robert L. Baird, Daniel Gerson",7.8
748,WALL·E,27/06/08,"Ben Burtt, Elissa Knight, Jeff Garlin",Andrew Stanton,"Andrew Stanton, Pete Docter, Jim Reardon",8.4
749,Logan,03/03/17,"Hugh Jackman, Patrick Stewart, Dafne Keen",James Mangold,"James Mangold, Scott Frank, Michael Green",8.1
750,The Bourne Ultimatum,03/08/07,"Matt Damon, Edgar Ramírez, Joan Allen",Paul Greengrass,"Tony Gilroy, Scott Z. Burns, George Nolfi",8
751,The Martian,02/10/15,"Matt Damon, Jessica Chastain, Kristen Wiig",Ridley Scott,"Drew Goddard, Andy Weir",8
752,Star Trek Into Darkness,16/05/13,"Chris Pine, Zachary Quinto, Zoe Saldana",J.J. Abrams,"Roberto Orci, Alex Kurtzman, Damon Lindelof",7.7
753,The Exorcist,26/12/73,"Ellen Burstyn, Max von Sydow, Linda Blair",William Friedkin,William Peter Blatty,8.1
754,Cast Away,22/12/00,"Tom Hanks, Helen Hunt, Paul Sanchez",Robert Zemeckis,William Broyles Jr.,7.8
755,X-Men: Days of Future Past,23/05/14,"Patrick Stewart, Ian McKellen, Hugh Jackman",Bryan Singer,"Simon Kinberg, Jane Goldman, Matthew Vaughn",8
756,Ghostbusters,08/06/84,"Bill Murray, Dan Aykroyd, Sigourney Weaver",Ivan Reitman,"Dan Aykroyd, Harold Ramis, Rick Moranis",7.8
757,Toy Story 2,24/11/99,"Tom Hanks, Tim Allen, Joan Cusack","John Lasseter, Ash Brannon, Lee Unkrich","John Lasseter, Pete Docter, Ash Brannon",7.9
758,Indiana Jones and the Raiders of the Lost Ark,12/06/81,"Harrison Ford, Karen Allen, Paul Freeman",Steven Spielberg,"Lawrence Kasdan, George Lucas, Philip Kaufman",8.4
759,Moana,23/11/16,"Aulii Cravalho, Dwayne Johnson, Rachel House","Ron Clements, John Musker, Don Hall","Jared Bush, Ron Clements, John Musker",7.6
760,Harry Potter and the Prisoner of Azkaban,04/06/04,"Daniel Radcliffe, Emma Watson, Rupert Grint",Alfonso Cuarón,"J.K. Rowling, Steve Kloves",7.9
761,Despicable Me,09/07/10,"Steve Carell, Jason Segel, Russell Brand","Pierre Coffin, Chris Renaud","Cinco Paul, Ken Daurio, Sergio Pablos",7.6
762,The Blind Side,20/11/09,"Quinton Aaron, Sandra Bullock, Tim McGraw",John Lee Hancock,"John Lee Hancock, Michael Lewis",7.6
763,Star Trek,08/05/09,"Chris Pine, Zachary Quinto, Simon Pegg",J.J. Abrams,"Roberto Orci, Alex Kurtzman, Gene Roddenberry",7.9
764,The Lego Movie,07/02/14,"Chris Pratt, Will Ferrell, Elizabeth Banks","Christopher Miller, Phil Lord","Phil Lord, Christopher Miller, Dan Hageman",7.7
765,The Hobbit: The Desolation of Smaug,13/12/13,"Ian McKellen, Martin Freeman, Richard Armitage",Peter Jackson,"Fran Walsh, Philippa Boyens, Peter Jackson",7.8
766,Captain America: The Winter Soldier,04/04/14,"Chris Evans, Samuel L. Jackson, Scarlett Johansson","Anthony Russo, Joe Russo","Christopher Markus, Stephen McFeely, Joe Simon",7.8
767,Jaws,20/06/75,"Roy Scheider, Robert Shaw, Richard Dreyfuss",Steven Spielberg,"Peter Benchley, Carl Gottlieb",8.1
768,The Incredibles,05/11/04,"Craig T. Nelson, Samuel L. Jackson, Holly Hunter",Brad Bird,Brad Bird,8
769,Shrek,18/05/01,"Mike Myers, Eddie Murphy, Cameron Diaz","Andrew Adamson, Vicky Jenson","William Steig, Ted Elliott, Terry Rossio",7.9
770,Gravity,04/10/13,"Sandra Bullock, George Clooney, Ed Harris",Alfonso Cuarón,"Alfonso Cuarón, Jonás Cuarón",7.7
771,The Hangover,05/06/09,"Zach Galifianakis, Bradley Cooper, Justin Bartha",Todd Phillips,"Jon Lucas, Scott Moore",7.7
772,Home Alone,16/11/90,"Macaulay Culkin, Joe Pesci, Daniel Stern",Chris Columbus,John Hughes,7.7
773,"Monsters, Inc.",02/11/01,"Billy Crystal, John Goodman, Mary Gibbs","Pete Docter, David Silverman, Lee Unkrich","Pete Docter, Jill Culton, Jeff Pidgeon",8.1
774,Harry Potter and the Goblet of Fire,18/11/05,"Daniel Radcliffe, Emma Watson, Rupert Grint",Mike Newell,"Steve Kloves, J.K. Rowling",7.7
775,Star Wars: Episode V - The Empire Strikes Back,20/06/80,"Mark Hamill, Harrison Ford, Carrie Fisher",Irvin Kershner,"Leigh Brackett, Lawrence Kasdan, George Lucas",8.7
776,Inception,16/07/10,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page",Christopher Nolan,Christopher Nolan,8.8
777,Up,29/05/09,"Edward Asner, Jordan Nagai, John Ratzenberger","Pete Docter, Bob Peterson","Pete Docter, Bob Peterson, Tom McCarthy",8.2
778,The Sixth Sense,06/08/99,"Bruce Willis, Haley Joel Osment, Toni Collette",M. Night Shyamalan,M. Night Shyamalan,8.2
779,Harry Potter and the Deathly Hallows: Part 1,19/11/10,"Daniel Radcliffe, Emma Watson, Rupert Grint",David Yates,"Steve Kloves, J.K. Rowling",7.7
780,Harry Potter and the Half-Blood Prince,15/07/09,"Daniel Radcliffe, Emma Watson, Rupert Grint",David Yates,"Steve Kloves, J.K. Rowling",7.6
781,The Hobbit: An Unexpected Journey,14/12/12,"Martin Freeman, Ian McKellen, Richard Armitage",Peter Jackson,"Fran Walsh, Philippa Boyens, Peter Jackson",7.8
782,Skyfall,09/11/12,"Daniel Craig, Javier Bardem, Naomie Harris",Sam Mendes,"Neal Purvis, Robert Wade, John Logan",7.8
783,Pirates of the Caribbean: The Curse of the Black Pearl,09/07/03,"Johnny Depp, Geoffrey Rush, Orlando Bloom",Gore Verbinski,"Ted Elliott, Terry Rossio, Stuart Beattie",8
784,Star Wars: Episode VI - Return of the Jedi,25/05/83,"Mark Hamill, Harrison Ford, Carrie Fisher",Richard Marquand,"Lawrence Kasdan, George Lucas",8.3
785,Thor: Ragnarok,03/11/17,"Chris Hemsworth, Tom Hiddleston, Cate Blanchett",Taika Waititi,"Eric Pearson, Craig Kyle, Christopher L. Yost",7.9
786,The Lord of the Rings: The Fellowship of the Ring,19/12/01,"Elijah Wood, Ian McKellen, Orlando Bloom",Peter Jackson,"J.R.R. Tolkien, Fran Walsh, Philippa Boyens",8.8
787,Harry Potter and the Sorcerers Stone,16/11/01,"Daniel Radcliffe, Rupert Grint, Richard Harris",Chris Columbus,"J.K. Rowling, Steve Kloves",7.6
788,Iron Man,02/05/08,"Robert Downey Jr., Gwyneth Paltrow, Terrence Howard",Jon Favreau,"Mark Fergus, Hawk Ostby, Art Marcum",7.9
789,Star Wars,25/05/77,"Mark Hamill, Harrison Ford, Carrie Fisher",George Lucas,George Lucas,8.6
790,Deadpool 2,18/05/18,"Ryan Reynolds, Josh Brolin, Morena Baccarin",David Leitch,"Rhett Reese, Paul Wernick, Ryan Reynolds",7.7
791,Forrest Gump,06/07/94,"Tom Hanks, Robin Wright, Gary Sinise",Robert Zemeckis,"Winston Groom, Eric Roth",8.8
792,Guardians of the Galaxy,01/08/14,"Chris Pratt, Vin Diesel, Bradley Cooper",James Gunn,"James Gunn, Nicole Perlman, Dan Abnett",8.1
793,Joker,04/10/19,"Joaquin Phoenix, Robert De Niro, Zazie Beetz",Todd Phillips,"Todd Phillips, Scott Silver, Bob Kane",8.4
794,Zootopia,04/03/16,"Ginnifer Goodwin, Jason Bateman, Idris Elba","Byron Howard, Rich Moore, Jared Bush","Byron Howard, Rich Moore, Jared Bush",8
795,The Lord of the Rings: The Two Towers,18/12/02,"Elijah Wood, Ian McKellen, Viggo Mortensen",Peter Jackson,"J.R.R. Tolkien, Fran Walsh, Philippa Boyens",8.7
796,Inside Out,19/06/15,"Amy Poehler, Bill Hader, Lewis Black","Pete Docter, Ronnie Del Carmen","Pete Docter, Ronnie Del Carmen, Meg LeFauve",8.2
797,Deadpool,12/02/16,"Ryan Reynolds, Morena Baccarin, T.J. Miller",Tim Miller,"Rhett Reese, Paul Wernick",8
798,The Lord of the Rings: The Return of the King,17/12/03,"Elijah Wood, Viggo Mortensen, Ian McKellen",Peter Jackson,"J.R.R. Tolkien, Fran Walsh, Philippa Boyens",9
799,Star Wars: Episode III - Revenge of the Sith,19/05/05,"Hayden Christensen, Natalie Portman, Ewan McGregor",George Lucas,"George Lucas, John Ostrander, Jan Duursema",7.6
800,Finding Nemo,30/05/03,"Albert Brooks, Ellen DeGeneres, Alexander Gould","Andrew Stanton, Lee Unkrich","Andrew Stanton, Bob Peterson, David Reynolds",8.1
801,Harry Potter and the Deathly Hallows: Part 2,15/07/11,"Daniel Radcliffe, Emma Watson, Rupert Grint",David Yates,"Steve Kloves, J.K. Rowling",8.2
802,Guardians of the Galaxy Vol. 2,05/05/17,"Chris Pratt, Zoe Saldana, Dave Bautista",James Gunn,"James Gunn, Dan Abnett, Andy Lanning",7.6
803,Jurassic Park,11/06/93,"Sam Neill, Laura Dern, Jeff Goldblum",Steven Spielberg,"Michael Crichton, David Koepp",8.1
804,Captain America: Civil War,06/05/16,"Chris Evans, Robert Downey Jr., Scarlett Johansson","Anthony Russo, Joe Russo","Christopher Markus, Stephen McFeely, Joe Simon",7.8
805,Toy Story 3,18/06/10,"Tom Hanks, Tim Allen, Joan Cusack",Lee Unkrich,"John Lasseter, Andrew Stanton, Lee Unkrich",8.3
806,The Lion King,24/06/94,"Matthew Broderick, Jeremy Irons, James Earl Jones","Roger Allers, Rob Minkoff","Irene Mecchi, Jonathan Roberts, Linda Woolverton",8.5
807,Toy Story 4,21/06/19,"Tom Hanks, Tim Allen, Annie Potts",Josh Cooley,"John Lasseter, Andrew Stanton, Josh Cooley",7.7
808,E.T. the Extra-Terrestrial,11/06/82,"Henry Thomas, Drew Barrymore, Peter Coyote",Steven Spielberg,Melissa Mathison,7.9
809,The Dark Knight Rises,20/07/12,"Christian Bale, Tom Hardy, Anne Hathaway",Christopher Nolan,"Jonathan Nolan, Christopher Nolan, David S. Goyer",8.4
810,Rogue One: A Star Wars Story,16/12/16,"Felicity Jones, Diego Luna, Alan Tudyk",Gareth Edwards,"Chris Weitz, Tony Gilroy, John Knoll",7.8
811,The Dark Knight,18/07/08,"Christian Bale, Heath Ledger, Aaron Eckhart",Christopher Nolan,"Jonathan Nolan, Christopher Nolan, David S. Goyer",9.1
812,Incredibles 2,15/06/18,"Craig T. Nelson, Holly Hunter, Sarah Vowell",Brad Bird,Brad Bird,7.6
813,The Avengers,04/05/12,"Robert Downey Jr., Chris Evans, Scarlett Johansson",Joss Whedon,"Joss Whedon, Zak Penn",8.1
814,Titanic,19/12/97,"Leonardo DiCaprio, Kate Winslet, Billy Zane",James Cameron,James Cameron,7.8
815,Avengers: Infinity War,27/04/18,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo","Anthony Russo, Joe Russo","Christopher Markus, Stephen McFeely, Stan Lee",8.4
816,Avatar,18/12/09,"Sam Worthington, Zoe Saldana, Sigourney Weaver",James Cameron,James Cameron,7.9
817,Avengers: Endgame,26/04/19,"Robert Downey Jr., Chris Evans, Mark Ruffalo","Anthony Russo, Joe Russo","Christopher Markus, Stephen McFeely, Stan Lee",8.4
818,Star Wars: Episode VII - The Force Awakens,18/12/15,"Daisy Ridley, John Boyega, Oscar Isaac",J.J. Abrams,"Lawrence Kasdan, J.J. Abrams, Michael Arndt",7.9
819,The Cabinet of Dr. Caligari,27/02/20,"Werner Krauss, Conrad Veidt, Friedrich Feher",Robert Wiene,"Carl Mayer, Hans Janowitz",8
820,Nosferatu,18/05/22,"Max Schreck, Alexander Granach, Gustav von Wangenheim",F.W. Murnau,"Henrik Galeen, Bram Stoker",7.9
821,The Circus,16/11/28,"Charles Chaplin, Merna Kennedy, Al Ernest Garcia",Charles Chaplin,Charles Chaplin,8.1
822,Frankenstein,21/11/31,"Colin Clive, Mae Clarke, Boris Karloff",James Whale,"John L. Balderston, Mary Shelley, Peggy Webling",7.8
823,Freaks,20/02/32,"Wallace Ford, Leila Hyams, Olga Baclanova",Tod Browning,"Clarence Aaron Tod Robbins, Willis Goldbeck, Leon Gordon",7.9
824,Scarface,09/12/83,"Al Pacino, Michelle Pfeiffer, Steven Bauer",Brian De Palma,"Oliver Stone, Howard Hawks, Ben Hecht",8.3
825,Duck Soup,17/11/33,"Groucho Marx, Harpo Marx, Chico Marx",Leo McCarey,"Bert Kalmar, Harry Ruby, Arthur Sheekman",7.8
826,The Invisible Man,28/02/20,"Elisabeth Moss, Oliver Jackson-Cohen, Harriet Dyer",Leigh Whannell,"Leigh Whannell, H.G. Wells",7.1
827,The Thin Man,25/05/34,"William Powell, Myrna Loy, Maureen OSullivan",W.S. Van Dyke,"Albert Hackett, Frances Goodrich, Dashiell Hammett",7.9
828,The 39 Steps,31/07/35,"Robert Donat, Madeleine Carroll, Lucie Mannheim",Alfred Hitchcock,"John Buchan, Charles Bennett, Ian Hay",7.6
829,Bringing Up Baby,18/02/38,"Katharine Hepburn, Cary Grant, Charles Ruggles",Howard Hawks,"Dudley Nichols, Hagar Wilde",7.8
830,The Lady Vanishes,01/11/38,"Margaret Lockwood, Michael Redgrave, Paul Lukas",Alfred Hitchcock,"Ethel Lina White, Sidney Gilliat, Frank Launder",7.8
831,The Rules of the Game,08/04/50,"Marcel Dalio, Nora Gregor, Paulette Dubost",Jean Renoir,"Jean Renoir, Carl Koch",8
832,Stagecoach,03/03/39,"John Wayne, Claire Trevor, Andy Devine",John Ford,"Ernest Haycox, Dudley Nichols, Ben Hecht",7.8
833,The Philadelphia Story,17/01/41,"Cary Grant, Katharine Hepburn, James Stewart",George Cukor,"Donald Ogden Stewart, Philip Barry, Waldo Salt",7.9
834,Sullivans Travels,06/02/42,"Joel McCrea, Veronica Lake, Robert Warwick",Preston Sturges,Preston Sturges,7.9
835,To Be or Not to Be,06/03/42,"Carole Lombard, Jack Benny, Robert Stack",Ernst Lubitsch,"Melchior Lengyel, Edwin Justus Mayer, Ernst Lubitsch",8.2
836,Shadow of a Doubt,15/01/43,"Teresa Wright, Joseph Cotten, Macdonald Carey",Alfred Hitchcock,"Thornton Wilder, Sally Benson, Alma Reville",7.8
837,Arsenic and Old Lace,21/09/44,"Cary Grant, Priscilla Lane, Raymond Massey",Frank Capra,"Julius J. Epstein, Philip G. Epstein, Joseph Kesselring",7.9
838,Gaslight,16/06/44,"Charles Boyer, Ingrid Bergman, Joseph Cotten",George Cukor,"John Van Druten, Walter Reisch, John L. Balderston",7.8
839,To Have and Have Not,20/01/45,"Humphrey Bogart, Lauren Bacall, Walter Brennan",Howard Hawks,"Ernest Hemingway, Jules Furthman, William Faulkner",7.8
